time_elapsed,subject,experiment,code_version,rt,octave,pitch_shift,offset,answer,response,correct
477067,11,IP,v1.0,1373.2000000178814,3.0,+,0.0,True,True,True
482931,11,IP,v1.0,1031.5999999940395,3.0,+,15.0,True,True,True
488267,11,IP,v1.0,655.2999999821186,3.0,-,-15.0,False,False,True
493723,11,IP,v1.0,625.7000000178814,3.0,+,15.0,True,True,True
499227,11,IP,v1.0,824.0,3.0,-,-15.0,False,False,True
505155,11,IP,v1.0,1097.800000011921,3.0,+,15.0,True,True,True
510795,11,IP,v1.0,961.9000000059604,3.0,+,-15.0,True,True,True
516123,11,IP,v1.0,647.6999999880791,3.0,-,-15.0,False,False,True
521939,11,IP,v1.0,983.5,3.0,+,15.0,True,True,True
527379,11,IP,v1.0,682.6999999880791,3.0,-,0.0,False,False,True
532987,11,IP,v1.0,926.5,3.0,+,-15.0,True,True,True
538427,11,IP,v1.0,608.3000000119209,3.0,-,15.0,False,False,True
543819,11,IP,v1.0,641.9000000059605,3.0,-,0.0,False,False,True
549275,11,IP,v1.0,624.0,3.0,+,15.0,True,True,True
554803,11,IP,v1.0,851.9000000059605,3.0,+,-15.0,True,True,True
560363,11,IP,v1.0,734.7000000178814,3.0,+,15.0,True,True,True
565827,11,IP,v1.0,707.2000000178814,3.0,-,0.0,False,False,True
571180,11,IP,v1.0,672.5,3.0,-,-15.0,False,False,True
576787,11,IP,v1.0,852.5,3.0,+,0.0,True,True,True
582059,11,IP,v1.0,592.5,3.0,-,-15.0,False,False,True
587355,11,IP,v1.0,466.5,3.0,-,15.0,False,False,True
594531,11,IP,v1.0,2499.4000000059605,3.0,+,-15.0,True,True,True
600059,11,IP,v1.0,701.5,3.0,-,15.0,False,False,True
605475,11,IP,v1.0,660.8000000119209,3.0,-,0.0,False,False,True
610779,11,IP,v1.0,548.7000000178814,3.0,-,0.0,False,False,True
629755,11,IP,v1.0,1471.0,5.0,+,-15.0,True,True,True
635099,11,IP,v1.0,667.7000000178814,5.0,-,-15.0,False,False,True
642347,11,IP,v1.0,2418.0999999940395,5.0,+,15.0,True,True,True
653252,11,IP,v1.0,6153.300000011921,5.0,-,0.0,False,False,True
661659,11,IP,v1.0,3578.100000023842,5.0,+,15.0,True,True,True
667172,11,IP,v1.0,760.1999999880791,5.0,-,0.0,False,False,True
673035,11,IP,v1.0,1033.699999988079,5.0,+,15.0,True,True,True
678419,11,IP,v1.0,630.2000000178814,5.0,-,0.0,False,False,True
685179,11,IP,v1.0,2078.5,5.0,-,-15.0,False,True,False
690691,11,IP,v1.0,758.2000000178814,5.0,+,0.0,True,True,True
697123,11,IP,v1.0,1599.7999999821186,5.0,+,15.0,True,True,True
702587,11,IP,v1.0,707.5999999940395,5.0,+,0.0,True,True,True
708235,11,IP,v1.0,817.5,5.0,+,15.0,True,True,True
713731,11,IP,v1.0,665.2000000178814,5.0,-,15.0,False,False,True
719011,11,IP,v1.0,598.7999999821186,5.0,-,-15.0,False,False,True
724611,11,IP,v1.0,771.2000000178814,5.0,-,15.0,False,False,True
730131,11,IP,v1.0,764.5999999940395,5.0,+,0.0,True,True,True
735371,11,IP,v1.0,559.8000000119209,5.0,-,-15.0,False,False,True
740587,11,IP,v1.0,539.5,5.0,+,-15.0,True,True,True
745940,11,IP,v1.0,522.4000000059605,5.0,-,15.0,False,False,True
751179,11,IP,v1.0,566.5,5.0,+,-15.0,True,True,True
756507,11,IP,v1.0,647.0999999940395,5.0,+,-15.0,True,True,True
761963,11,IP,v1.0,623.0,5.0,-,15.0,False,False,True
767195,11,IP,v1.0,555.0,5.0,+,-15.0,True,True,True
772387,11,IP,v1.0,516.6000000238419,5.0,+,-15.0,True,True,True
777731,11,IP,v1.0,665.0999999940395,5.0,+,-15.0,True,True,True
783059,11,IP,v1.0,646.7999999821186,5.0,-,-15.0,False,False,True
788443,11,IP,v1.0,632.4000000059605,5.0,-,0.0,False,False,True
793899,11,IP,v1.0,625.9000000059605,5.0,+,15.0,True,True,True
799259,11,IP,v1.0,529.1000000238419,5.0,-,15.0,False,False,True
804835,11,IP,v1.0,746.8999999761581,5.0,-,15.0,False,False,True
810347,11,IP,v1.0,680.5999999940395,5.0,-,15.0,False,False,True
815739,11,IP,v1.0,563.2999999821186,5.0,+,15.0,True,True,True
822667,11,IP,v1.0,2098.9000000059605,5.0,+,15.0,True,True,True
828571,11,IP,v1.0,1147.0,5.0,+,0.0,True,True,True
833947,11,IP,v1.0,694.9000000059605,5.0,+,-15.0,True,True,True
839683,11,IP,v1.0,904.3000000119208,5.0,-,15.0,False,False,True
